Fecha,Producto,Ventas,Region,Clientes,Margen,Costo,Satisfaccion
2024-01-01,Producto A,15000,Norte,45,0.25,11250,4.2
2024-01-02,Producto B,18500,Sur,52,0.30,12950,4.5
2024-01-03,Producto A,22000,Este,63,0.28,15840,4.8
2024-01-04,Producto C,19200,Oeste,38,0.22,14976,3.9
2024-01-05,Producto B,21000,Norte,55,0.32,14280,4.6
2024-01-06,Producto A,17500,Sur,48,0.26,12950,4.1
2024-01-07,Producto C,20500,Este,59,0.29,14555,4.4
2024-01-08,Producto B,16800,Oeste,42,0.24,12768,3.8
2024-01-09,Producto A,23000,Norte,65,0.31,15870,4.9
2024-01-10,Producto C,18900,Sur,47,0.27,13797,4.0
2024-01-11,Producto B,20100,Este,54,0.28,14472,4.3
2024-01-12,Producto A,19800,Oeste,51,0.25,14850,4.2
2024-01-13,Producto C,21500,Norte,58,0.30,15050,4.7
2024-01-14,Producto B,17200,Sur,44,0.23,13244,3.7
2024-01-15,Producto A,22800,Este,62,0.33,15276,4.8
2024-01-16,Producto C,24100,Oeste,68,0.34,15906,4.9
2024-01-17,Producto B,19500,Norte,50,0.29,13845,4.3
2024-01-18,Producto A,26000,Sur,75,0.35,16900,5.0
2024-01-19,Producto C,14200,Este,31,0.18,11644,3.2
2024-01-20,Producto B,22400,Oeste,60,0.31,15456,4.6
2024-01-21,Producto A,21100,Norte,56,0.28,15192,4.4
2024-01-22,Producto C,18300,Sur,46,0.26,13542,4.1
2024-01-23,Producto B,25600,Este,72,0.36,16384,4.9
2024-01-24,Producto A,16900,Oeste,40,0.22,13182,3.8
2024-01-25,Producto C,23500,Norte,64,0.32,15980,4.7
2024-01-26,Producto B,19800,Sur,51,0.27,14454,4.2
2024-01-27,Producto A,28400,Este,82,0.38,17608,5.0
2024-01-28,Producto C,15600,Oeste,35,0.20,12480,3.5
2024-01-29,Producto B,21900,Norte,57,0.30,15330,4.5
2024-01-30,Producto A,24300,Sur,67,0.33,16281,4.8
