Fecha,Producto,Ventas,Region,Clientes,Margen
2024-01-01,A,15000,Norte,45,0.25
2024-01-02,B,18500,Sur,52,0.30
2024-01-03,A,22000,Este,63,0.28
2024-01-04,C,19200,Oeste,38,0.22
2024-01-05,B,21000,Norte,55,0.32
2024-01-06,A,17500,Sur,48,0.26
2024-01-07,C,20500,Este,59,0.29
2024-01-08,B,16800,Oeste,42,0.24
2024-01-09,A,23000,Norte,65,0.31
2024-01-10,C,18900,Sur,47,0.27
2024-01-11,B,20100,Este,54,0.28
2024-01-12,A,19800,Oeste,51,0.25
2024-01-13,C,21500,Norte,58,0.30
2024-01-14,B,17200,Sur,44,0.23
2024-01-15,A,22800,Este,62,0.33
